"Word","Length","Freq_HAL","Pron","I_Mean_RT","I_NMG_Mean_RT"
"ablaze","6","154","@.bl""ez","740.727","644.360"
"able","4","176,528","""e.bl=","623.303","628.214"
"ably","4","256","""e.bli","796.143","773.833"
"abnormal","8","2,204","ab.n""Or.ml=","684.909","673.385"
"abnormalities","13","644","%ab.nOr.m""al.@.4iz","898.367","724.481"
"abnormality","11","291","%ab.nOr.m""al.@.4i","781.441","671.480"
"abnormally","10","372","ab.n""Or.ml=.i","843.258","639.040"
"aboard","6","3,721","@.b""Ord","628.161","654.870"
"abode","5","486","@.b""od","855.833","665.958"
"abolish","7","1,606","@.b""A.lIS","703.219","654.759"
"abolished","9","1,458","@.b""A.lISt","664.625","659.321"
"abolition","9","827","%a.b@.l""IS.n=","834.333","904.143"
"abolitionist","12","134","%a.b@.l""IS.n=.Ist","982.893","917.083"
"abolitionists","13","100","%a.b@.l""IS.n=.Ists","1,010.967","859.375"
"abominable","10","473","@.b""A.m@.n@.bl=","829.071","899.211"
"abominate","9","3","@.b""A.m@.net","888.593","849.000"
"aboriginal","10","1,459","%a.b@`.r""I.dZ@.nl=","916.727","923.682"
"aborigine","9","71","%a.b@`.r""I.dZ@.ni","933.600","951.933"
"aborigines","10","511","%a.b@`.r""I.dZ@.niz","977.364","875.941"
"abort","5","2,778","@.b""Ort","672.484","583.704"
"abortion","8","16,764","@.b""Or.Sn=","686.455","660.692"
"abortionist","11","206","@.b""Or.Sn=.Ist","833.824","807.792"
"abortions","9","3,768","@.b""Or.Sn=z","774.633","643.481"
"abortive","8","213","@.b""Or4.Iv","881.077","713.444"
"abound","6","1,065","@.b""aUnd","768.900","596.333"
"abounded","8","78","@.b""aUn4.@d","832.310","685.542"
"abounding","9","100","@.b""aUn4.IN","884.516","657.000"
"abounds","7","314","@.b""aUndz","678.903","614.667"
"about","5","1,307,019","@.b""aUt","628.194","560.429"
"above","5","177,919","@.b""Vv","564.333","561.393"
"aboveground","11","19","@.b""Vv.gr%aUnd","830.645","755.889"
"abracadabra","11","73","%a.br@.k@.d""a.br@","889.250","950.955"
"Abraham","7","3,824","""e.br@.h%am","782.844","729.885"
"abrasion","8","250","@.br""e.Zn=","807.346","751.560"
"abrasive","8","576","@.br""es.Iv","710.594","635.538"
"abreast","7","491","@.br""Est","846.484","711.000"
"abridged","8","797","@.br""IdZd","927.290","758.536"
"abridgment","10","42","@.br""IdZ.m@nt","1,152.611","786.957"
"abroad","6","5,984","@.br""Od","654.688","621.704"
"abrogate","8","100","""a.br@.get","798.583","1,052.429"
"abrogated","9","128","""a.br@.g%e4.@d","818.533","805.882"
"abrupt","6","719","@.br""Vpt","690.971","584.889"
"abruptly","8","1,230","@.br""Vpt.li","701.212","637.786"
"abruptness","10","23","@.br""Vpt.n@s","817.679","768.500"
"abscess","7","96","""ab.sEs","1,033.500","801.450"
"abscesses","9","109","""ab.sEs.@z","1,061.211","997.056"
"abscissa","8","18","ab.s""I.s@","953.154","748.571"
"abscond","7","17","@b.sk""And","774.111","803.200"
"absence","7","7,304","""ab.sn=s","687.000","666.148"
"absences","8","143","""ab.sn=s.@z","812.118","713.000"
"absent","6","3,019","""ab.sn=t","665.324","607.885"
"absented","8","4","ab.s""En4.@d","794.577","792.208"
"absentee","8","152","%ab.sn=t.""i","886.786","671.087"
"absenteeism","11","78","%ab.sn=t.""i.I.zm=","963.421","917.857"
"absently","8","190","""ab.sn=t.li","648.100","716.077"
"absentmindedly","14","49","%ab.sn=t.m""aIn4.@d.li","1,038.526","835.056"
"absinth","7","8","""ab.sInT","744.500","710.300"
"absolute","8","16,840","""ab.s@.l%ut","707.029","578.286"
"absolutely","10","36,965","%ab.s@.l""ut.li","667.000","682.464"
"absoluteness","12","23","""ab.s@.l%ut.n@s","888.839","707.250"
"absolutes","9","587","""ab.s@.l%uts","826.697","666.500"
"absolution","10","140","%ab.s@.l""u.Sn=","842.875","695.852"
"absolutism","10","197","""ab.s@.l%u4.I.zm=","934.963","904.609"
"absolve","7","223","@b.z""Alv","730.120","653.296"
"absorb","6","2,787","@b.z""Orb","633.781","640.720"
"absorbed","8","2,954","@b.z""Orbd","735.406","661.160"
"absorbency","10","82","@b.z""Orb.@n.si","955.821","769.083"
"absorbent","9","193","@b.z""Orb.@nt","793.733","805.704"
"absorber","8","143","@b.z""Orb.@`","794.700","675.560"
"absorbing","9","933","@b.z""Orb.IN","747.062","644.519"
"absorbs","7","619","@b.z""Orbz","675.000","671.038"
"absorption","10","1,735","@b.z""Orp.Sn=","825.690","712.148"
"absorptions","11","11","@b.z""Orp.Sn=z","841.125","791.625"
"absorptive","10","32","@b.z""Orp.tIv","873.882","864.500"
"abstain","7","960","@b.st""en","729.500","717.423"
"abstaining","10","190","@b.st""en.IN","861.875","791.880"
"abstention","10","72","@b.st""En.Sn=","985.389","942.133"
"abstinence","10","983","""ab.st@.n@ns","884.379","742.960"
"abstinent","9","73","""ab.st@.n@nt","968.905","867.261"
"abstract","8","8,606","""ab.strakt","667.909","622.586"
"abstracted","10","261","@b.str""akt.@d","790.515","679.071"
"abstractedness","14","2","@b.str""akt.@d.n@s","1,073.321","933.522"
"abstracting","11","113","@b.str""akt.IN","875.258","740.185"
"abstraction","11","1,596","@b.str""ak.Sn=","820.062","686.464"
"abstractionism","14","1","ab""strakS@%nIz@m","1,100.000","921.292"
"abstractionists","15","3","@b.str""ak.Sn=.Ists","1,187.815","817.727"
"abstractions","12","512","@b.str""ak.Sn=z","864.345","773.640"
"abstractive","11","7","ab""straktIv","972.321","751.962"
"abstractly","10","143","""ab.strakt.li","806.333","708.480"
"abstractors","11","0","ab.str""akt.@`z","942.857","744.444"
"abstracts","9","4,089","""ab.strakts","766.500","629.679"
"abstruse","8","157","@b.str""us","1,042.600","979.867"
"absurd","6","4,985","@b.s""3`d","736.567","613.808"
"absurdities","11","300","@b.s""3`4.@.4iz","928.440","750.000"
"absurdity","9","1,084","@b.s""3`4.@.4i","860.469","704.308"
"absurdly","8","316","@b.s""3`d.li","808.724","695.000"
"abundance","9","1,825","@.b""Vn.4@ns","698.727","629.821"
"abundant","8","1,381","@.b""Vn.4@nt","660.750","618.926"
"abuse","5","25,915","@.bj""uz","608.688","581.200"
"abused","6","6,038","@.bj""uzd","620.935","631.960"
"abuses","6","3,312","@.bj""uz.@z","632.576","561.200"
"abusive","7","3,526","@.bj""us.Iv","799.242","664.037"
"abut","4","259","@.b""Vt","1,072.333","729.421"
"abutment","8","19","@.b""Vt.m@nt","1,089.500","892.000"
"abutments","9","18","@.b""Vt.m@nts","1,164.250","821.917"
"abysmal","7","619","@.b""Iz.ml=","714.583","756.500"
"abyss","5","4,219","@.b""Is","651.440","653.036"
"acacia","6","213","@.k""e.S@","1,013.500","834.250"
"academic","8","17,622","%a.k@.d""E.mIk","716.906","725.000"
"academically","12","725","%a.k@.d""E.mIk.li","868.613","743.893"
"academicianship","15","1","@.k%a.4@.m""I.Sn=.S%Ip","1,150.455","1,184.000"
"academics","9","1,817","%a.k@.d""E.mIks","682.516","640.393"
"academies","9","967","@.k""a.4@.miz","794.958","763.692"
"academy","7","12,050","@.k""a.4@.mi","630.970","735.833"
"Acadia","6","305","@.k""e.4i@","959.615","892.091"
"Acapulco","8","180","%a.k@.p""Ul.ko","927.840","867.174"
"accede","6","149","@k.s""id","967.250","779.000"
"acceded","7","62","@k.s""i4.@d","880.111","830.900"
"accelerando","11","7","ak.s%E.l@`.r""An.4o","1,069.400","1,021.273"
"accelerate","10","2,368","@k.s""E.l@`.ret","710.853","727.259"
"accelerated","11","3,367","@k.s""E.l@`.r%e4.@d","741.562","720.778"
"accelerating","12","1,037","@k.s""E.l@`.r%e4.IN","832.613","765.800"
"acceleration","12","4,203","@k.s%E.l@`.r""e.Sn=","712.156","749.815"
"accelerations","13","169","@k.s%E.l@`.r""e.Sn=z","828.486","859.625"
"accelerator","11","5,152","@k.s""E.l@`.r%e4.@`","838.229","747.107"
"accelerators","12","1,466","@k.s""E.l@`.r%e4.@`z","791.893","734.370"
"accelerometer","13","70","@k.s%E.l@`.r""A.m@.4@`","1,130.867","823.600"
"accelerometers","14","63","@k.s%E.l@`.r""A.m@.4@`z","1,029.231","976.875"
"accent","6","5,213","""ak.sEnt","674.970","691.786"
"accented","8","1,182","""ak.sEn4.@d","642.733","769.526"
"accenting","9","54","""ak.sEn4.IN","819.323","746.579"
"accents","7","1,796","""ak.sEnts","641.219","655.593"
"accentual","9","1","ak.s""En.tSu@l","865.000","860.400"
"accentuate","10","161","@k.s""En.tSu.et","765.433","901.520"
"accentuated","11","193","@k.s""En.tSu.%e4.@d","938.724","947.480"
"accentuates","11","57","@k.s""En.tSu.ets","995.727","839.375"
"accept","6","49,430","@k.s""Ept","556.394","628.077"
"acceptable","10","16,372","@k.s""Ept.@.bl=","661.061","732.143"
"acceptance","10","8,774","@k.s""Ept.@ns","660.750","720.308"
"accepted","8","33,901","@k.s""Ept.@d","597.788","630.000"
"accepting","9","7,649","@k.s""Ept.IN","630.545","687.630"
"accepts","7","4,586","@k.s""Epts","735.667","682.074"
"access","6","172,256","""ak.sEs","677.788","627.536"
"accesses","8","2,369","""ak.sEs.@z","749.387","839.095"
"accessible","10","10,758","@k.s""Es.@.bl=","709.219","689.750"
"accessions","10","48","@k.s""E.Sn=z","919.407","825.333"
"accessories","11","5,737","@k.s""E.s@`.riz","704.879","771.148"
"accessors","9","173","""ak.sEs.@`z","912.174","809.684"
"accessory","9","1,342","@k.s""E.s@`.ri","687.364","796.185"
"accident","8","11,152","""ak.s@.dn=t","621.781","610.481"
"accidental","10","2,346","%ak.s@.d""En4.l=","691.000","645.269"
"accidentally","12","4,432","%ak.s@.d""En4.l=.i","704.600","652.370"
"accidents","9","4,163","""ak.s@.dn=ts","632.735","609.708"
"acclaim","7","889","@.kl""em","828.188","702.889"
"acclaimed","9","1,049","@.kl""emd","694.967","679.423"
"acclaims","8","7","@.kl""emz","801.133","719.720"
"acclamation","11","26","%a.kl@m.""e.Sn=","816.000","764.500"
"acclimate","9","97","""a.kl@.met","863.125","900.045"
"acclimatized","12","17","@.kl""aI.m@t.aIzd","1,205.625","823.667"
"accolade","8","703","""a.k@.led","960.353","811.737"
"accolades","9","227","""a.k@.ledz","899.056","819.500"
"accommodate","11","2,454","@.k""A.m@.det","726.147","683.333"
"accommodated","12","301","@.k""A.m@.d%e4.@d","705.588","729.885"
"accommodates","12","136","@.k""A.m@.dets","756.625","773.444"
"accommodating","13","447","@.k""A.m@.d%e4.IN","760.448","814.920"
"accommodation","13","2,006","@.k%A.m@.d""e.Sn=","864.829","721.786"
"accommodations","14","1,434","@.k%A.m@.d""e.Sn=z","770.882","687.654"
"accompanied","11","4,441","@.k""Vm.p@.nid","787.094","748.750"
"accompanies","11","722","@.k""Vm.p@.niz","803.448","738.520"
"accompaniment","13","711","@.k""Vm.p@.nI.m@nt","728.364","824.789"
"accompaniments","14","36","@.k""Vm.p@.nI.m@nts","1,015.391","841.200"
"accompanist","11","156","@.k""Vm.p@.nIst","817.179","781.500"
"accompanists","12","73","@.k""Vm.p@.nIsts","886.083","919.933"
"accompany","9","2,138","@.k""Vm.p@.ni","725.844","664.964"
"accompanying","12","2,991","@.k""Vm.p@.ni.IN","899.419","720.136"
"accomplice","10","281","@.k""Am.plIs","784.333","737.320"
"accomplices","11","220","@.k""Am.plIs.@z","940.516","811.348"
"accomplish","10","7,794","@.k""Am.plIS","773.121","616.808"
"accomplished","12","6,982","@.k""Am.plISt","726.788","793.111"
"accomplishes","12","592","@.k""Am.plIS.@z","862.138","673.815"
"accomplishing","13","704","@.k""Am.plIS.IN","708.625","711.889"
"accomplishment","14","1,301","@.k""Am.plIS.m@nt","803.062","662.857"
"accomplishments","15","1,990","@.k""Am.plIS.m@nts","776.333","722.571"
"accord","6","3,524","@.k""Ord","683.710","602.000"
"accordance","10","4,854","@.k""Ord.n=s","767.242","691.154"
"accorded","8","563","@.k""Or4.@d","763.742","681.714"
"according","9","64,745","@.k""Or4.IN","707.182","627.185"
"accordingly","11","5,108","@.k""Or4.IN.li","736.576","649.222"
"accordion","9","590","@.k""Or.4i@n","930.200","766.148"
"accords","7","974","@.k""Ordz","680.441","644.296"
"accost","6","31","@.k""Ost","806.808","712.120"
"accosted","8","168","@.k""Ost.@d","796.650","779.045"
"accosting","9","24","@.k""Ost.IN","838.542","812.720"
"account","7","60,958","@.k""aUnt","619.382","605.893"
"accountability","14","1,478","@.k%aUn4.@.b""Il.@.4i","821.206","673.852"
"accountable","11","2,339","@.k""aUn4.@.bl=","729.333","683.481"
"accountant","10","1,527","@.k""aUnt.n=t","817.188","677.115"
"accountants","11","1,506","@.k""aUnt.n=ts","742.857","721.917"
"accounted","9","1,502","@.k""aUn4.@d","664.829","636.370"
"accounting","10","15,754","@.k""aUn4.IN","632.088","681.731"
"accounts","8","18,019","@.k""aUnts","644.917","633.185"
"accredit","8","35","@.kr""E.4@t","839.708","697.280"
"accreditation","13","561","@.kr%E.4@t.""e.Sn=","975.000","789.400"
"accredited","10","1,049","@.kr""E.4@4.@d","773.906","808.741"
"accrue","6","611","@.kr""u","704.895","702.650"
"accrued","7","230","@.kr""ud","851.083","696.421"
"accrues","7","63","@.kr""uz","917.333","802.619"
"accruing","8","155","@.kr""u.IN","897.143","770.250"
"acculturated","12","24","@.k""Vl.tSu.r%e4.@d","1,061.474","1,072.471"
"acculturation","13","35","@.k%Vl.tSu.r""e.Sn=","1,047.947","833.909"
"accumulate","10","1,392","@.kj""u.mj@.let","734.088","763.786"
"accumulated","11","2,137","@.kj""u.mj@.l%e4.@d","748.265","899.120"
"accumulates","11","249","@.kj""u.mj@.lets","749.781","807.958"
"accumulating","12","553","@.kj""u.mj@.l%e4.IN","776.412","840.821"
"accumulation","12","1,206","@.kj%u.mj@.l""e.Sn=","859.879","848.296"
"accuracy","8","10,534","""a.kj@.r@.si","615.970","610.077"
"accurate","8","21,492","""a.kj@.r@t","728.242","669.556"
"accurately","10","5,396","""a.kj@.r@t.li","807.219","672.464"
"accurst","7","4","@.k""3`st","914.900","799.474"
"accusation","10","2,176","%a.kj@z.""e.Sn=","819.062","773.462"
"accusations","11","3,477","%a.kj@z.""e.Sn=z","763.733","819.926"
"accusative","10","103","@.kj""uz.@.4Iv","1,071.368","974.118"
"accuse","6","3,798","@.kj""uz","626.364","635.115"
"accused","7","9,093","@.kj""uzd","661.969","624.136"
"accuses","7","809","@.kj""uz.@z","758.700","688.364"
"accusing","8","2,296","@.kj""uz.IN","743.545","640.519"
"accusingly","10","39","@.kj""uz.IN.li","809.742","803.429"
"accustom","8","75","@.k""V.st@m","751.480","721.964"
"accustomed","10","1,691","@.k""V.st@md","735.719","744.654"
"ace","3","6,967","""es","579.029","627.654"
"acerbic","7","76","@.s""3`.bIk","829.889","1,056.727"
"aces","4","1,837","""es.@z","768.935","673.923"
"acetate","7","547","""a.s@.tet","856.654","845.955"
"acetone","7","423","""a.sI.t%on","793.042","874.667"
"acetylene","9","82","@.s""E.4@.lin","1,084.000","1,031.000"
"ache","4","846","""ek","631.655","663.500"
"ached","5","296","""ekt","797.036","657.185"
"aches","5","419","""eks","683.774","738.545"
"achieve","7","15,544","@.tS""iv","702.818","651.167"
"achieved","8","8,305","@.tS""ivd","700.094","657.038"
"achievement","11","3,925","@.tS""iv.m@nt","746.676","716.800"
"achievements","12","2,085","@.tS""iv.m@nts","700.364","655.917"
"achieves","8","762","@.tS""ivz","757.226","697.167"
"achieving","9","3,180","@.tS""iv.IN","657.167","680.160"
"Achilles","8","688","@.k""I.liz","751.192","805.375"
"aching","6","1,099","""ek.IN","799.600","718.520"
"acid","4","13,610","""a.s@d","615.688","590.852"
"acidic","6","809","@.s""I4.Ik","753.846","890.080"
"acidity","7","256","@.s""I4.@.4i","738.667","785.000"
"acids","5","2,326","""a.s@dz","636.750","628.593"
"acknowledge","11","6,783","@k.n""A.lIdZ","771.375","645.464"
"acknowledged","12","3,936","@k.n""A.lIdZd","810.853","656.500"
"acknowledgement","15","1,823","@k.n""A.lIdZ.m@nt","735.759","729.786"
"acknowledges","12","1,067","@k.n""A.lIdZ.@z","951.515","777.192"
"acknowledging","13","1,216","@k.n""A.lIdZ.IN","857.812","724.923"
"acknowledgment","14","948","@k.n""A.lIdZ.m@nt","850.667","774.000"
"acknowledgments","15","409","@k.n""A.lIdZ.m@nts","917.357","733.536"
"acme","4","911","""ak.mi","772.000","810.154"
"acne","4","536","""ak.ni","627.938","656.519"
"acolyte","7","444","""a.k@.laIt","731.182","822.857"
"acorn","5","8,301","""e.kOrn","721.963","616.708"
"acorns","6","359","""e.kOrnz","735.067","715.360"
"acoustic","8","5,401","@.k""u.stIk","793.438","754.296"
"acoustical","10","270","@.k""u.stIk.l=","855.690","775.227"
"acoustically","12","157","@.k""u.stIk.li","988.346","850.739"
"acoustics","9","1,240","@.k""u.stIks","789.033","879.833"
"acquaint","8","167","@.kw""ent","858.733","806.520"
"acquaintance","12","1,275","@.kw""ent.n=s","807.452","763.310"
"acquainted","10","1,022","@.kw""en4.@d","796.606","691.037"
"acquiesce","9","108","%a.kwi.""Es","881.842","762.667"
"acquiesced","10","111","%a.kwi.""Est","934.500","783.636"
"acquiescence","12","91","%a.kwi.""Es.n=s","927.750","893.200"
"acquiescent","11","19","%a.kwi.""Es.n=t","714.000","982.933"
"acquire","7","6,529","@.kw""aIr","673.939","639.444"
"acquired","8","6,388","@.kw""aIrd","710.000","590.462"
"acquires","8","460","@.kw""aIrz","748.424","793.519"
"acquiring","9","1,952","@.kw""aIr.IN","731.742","678.857"
"acquisition","11","5,006","%a.kw@.z""I.Sn=","785.594","789.545"
"acquisitions","12","1,098","%a.kw@.z""I.Sn=z","779.121","781.375"
"acquisitive","11","40","@.kw""I.z@.4Iv","908.643","880.647"
"acquisitiveness","15","4","@.kw""I.z@.4Iv.n@s","1,216.812","962.818"
"acquit","6","100","@.kw""It","832.440","767.148"
"acquittal","9","249","@.kw""I4.l=","905.538","812.381"
"acquitted","9","608","@.kw""I4.@d","802.061","667.625"
"acre","4","1,554","""e.k@`","723.000","751.500"
"acreage","7","231","""e.k@`.IdZ","1,018.000","831.143"
"acres","5","3,930","""e.k@`z","679.030","661.931"
"acrid","5","111","""a.krId","762.294","753.227"
"acrimonious","11","113","%a.kr@.m""o.ni@s","1,115.455","927.647"
"acrimony","8","89","""a.kr@.m%o.ni","784.500","913.706"
"acrobat","7","2,449","""a.kr@.bat","755.879","661.286"
"acrobatic","9","167","%a.kr@.b""a4.Ik","832.781","784.958"
"acrobatics","10","401","%a.kr@.b""a4.Iks","958.933","765.480"
"acrobats","8","66","""a.kr@.bats","715.182","678.179"
"acronym","7","1,966","""a.kr@.nIm","831.333","738.040"
"Acropolis","9","109","@.kr""A.p@.lIs","905.000","920.067"
"across","6","62,336","@.kr""Os","589.471","590.750"
"acrylic","7","844","@.kr""I.lIk","782.812","735.115"
"act","3","72,216","""akt","635.182","626.692"
"acted","5","4,894","""akt.@d","652.758","590.240"
"acting","6","16,012","""akt.IN","584.812","591.963"
"action","6","77,756","""ak.Sn=","564.125","571.500"
"actions","7","29,726","""ak.Sn=z","643.750","642.885"
"activate","8","3,486","""akt.@v.et","657.353","688.250"
"activated","9","3,246","""akt.@v.%e4.@d","752.125","676.000"
"activating","10","655","""akt.@v.%e4.IN","700.471","703.481"
"activation","10","1,918","%akt.@v.""e.Sn=","806.543","650.286"
"active","6","35,565","""akt.Iv","632.743","558.292"
"actively","8","7,101","""akt.Iv.li","703.781","672.429"
"activism","8","1,558","""akt.@v.%I.zm=","653.091","664.385"
"activist","8","3,525","""akt.@v.Ist","697.688","605.586"
"activities","10","32,765","akt.""Iv.@.4iz","713.267","667.654"
"activity","8","26,484","akt.""Iv.@.4i","714.839","633.077"
"actor","5","10,471","""akt.@`","539.970","555.714"
"actors","6","7,249","""akt.@`z","647.871","607.704"
"actor's","7","363","""akt@`z","588.294","590.667"
"actress","7","4,996","""ak.tr@s","687.529","611.852"
"actresses","9","1,663","""ak.tr@s.@z","860.758","718.440"
"acts","4","19,423","""akts","590.343","600.222"
"actual","6","40,919","""ak.tSu@l","623.324","545.714"
"actualities","11","38","%ak.tSu.""al.@.4iz","833.857","804.609"
"actuality","9","950","%ak.tSu.""al.@.4i","829.000","717.700"
"actually","8","196,457","""ak.tSu@l.i","647.273","612.333"
"actuary","7","49","""ak.tSu.%E.ri","711.667","926.458"
"acuity","6","228","@.kj""u@.4i","862.467","890.789"
"acupuncture","11","525","""a.kj@.p%VNk.tS@`","853.200","812.889"
"acute","5","2,427","@.kj""ut","649.529","709.074"
"acutely","7","332","@.kj""ut.li","818.933","735.280"
"acuteness","9","19","@.kj""ut.n@s","874.469","755.960"
"ad","2","43,254","""ad","740.939","626.385"
"Ada","3","15,432","""e.4@","882.824","824.053"
"adage","5","503","""a.4@dZ","769.846","712.375"
"Adam","4","19,626","""a.4@m","602.121","635.308"
"adamant","7","624","""a.4@.m@nt","823.000","771.840"
"adamantly","9","329","""a.4@.m@nt.li","836.000","907.500"
"Adam's","6","744","""a.4@mz","611.765","606.296"
"adapt","5","3,389","@.d""apt","660.364","585.037"
"adaptability","12","229","@.d%apt.@.b""Il.@.4i","893.607","752.000"
"adaptable","9","802","@.d""apt.@.bl=","899.621","687.154"
"adaptation","10","2,000","%a.dapt.""e.Sn=","804.500","788.500"
"adaptations","11","510","%a.dapt.""e.Sn=z","825.938","690.960"
"adapted","7","3,098","@.d""apt.@d","684.818","632.360"
"adapter","7","15,074","@.d""apt.@`","813.588","593.571"
"adapters","8","4,651","@.d""apt.@`z","811.636","638.037"
"adapting","8","729","@.d""apt.IN","754.364","670.920"
"Ada's","5","166","""e.4@z","926.579","829.783"
"add","3","113,856","""ad","657.545","579.571"
"added","5","62,085","""a4.@d","644.000","628.296"
"addendum","8","1,340","@.d""En.4@m","936.312","902.105"
"adder","5","351","""a.4@`","732.000","659.462"
"addict","6","1,887","""a.4Ikt","600.903","667.038"
"addicted","8","2,311","@.d""Ikt.@d","661.727","626.308"
"addiction","9","3,437","@.d""Ik.Sn=","628.286","637.407"
"addicts","7","1,909","""a.4Ikts","722.969","680.542"
"adding","6","24,066","""a4.IN","648.364","621.556"
"addition","8","46,938","@d.""I.Sn=","601.690","718.679"
"additional","10","56,018","@d.""I.Sn=.@l","678.939","569.292"
"additionally","12","6,651","@d.""I.Sn=.@l.i","820.394","685.138"
"additions","9","9,274","@d.""I.Sn=z","718.515","698.440"
"additive","8","903","""a4.@.4Iv","711.355","753.542"
"additives","9","1,265","""a4.@.4Ivz","782.394","764.043"
"addle","5","7","""a.4l=","1,107.125","746.571"
"address","7","221,551","""a.drEs","582.303","533.593"
"addressed","9","12,135","@.dr""Est","673.314","643.111"
"addressee","9","230","%a.drEs.""i","944.864","696.042"
"addressees","10","100","%a.drEs.""iz","763.759","713.846"
"addresses","9","35,300","""a.drEs.@z","757.774","694.143"
"addressing","10","7,146","@.dr""Es.IN","689.758","619.481"
"adds","4","11,870","""adz","632.206","603.148"
"adduce","6","87","@.d""us","748.667","710.200"
"Adele","5","212","@.d""El","881.286","791.667"
"adept","5","1,754","@.d""Ept","759.208","624.385"
"adequacy","8","407","""a.4@.kw@.si","780.643","828.250"
"adequate","8","8,178","""a.4@.kw@t","674.688","723.423"
"adequately","10","2,873","""a.4@.kw@t.li","698.240","756.000"
"adhere","6","1,932","@d.h""Ir","720.667","605.037"
"adhered","7","387","@d.h""Ird","781.909","721.240"
"adherence","9","903","@d.h""Ir.@ns","880.560","688.407"
"adherent","8","143","@d.h""Ir.@nt","823.792","735.115"
"adherents","9","692","@d.h""Ir.@nts","912.074","794.481"
"adheres","7","263","@d.h""Irz","822.821","674.333"
"adhesion","8","377","@d.h""i.Zn=","912.417","871.640"
"adhesive","8","938","@d.h""i.sIv","787.212","638.192"
"adhesives","9","160","@d.h""i.sIvz","766.379","749.600"
"adieu","5","142","@.d""u","900.136","747.125"
"adios","5","494","%a.4i.""os","746.421","725.042"
"adipose","7","124","""a.4@.pos","887.357","815.421"
"adirondack","10","352","%a.4@.r""An.dak","981.100","673.583"
"adirondacks","11","119","%a.4@.r""An.daks","917.214","900.700"
"adjacent","8","3,297","@.dZ""e.sn=t","748.121","741.214"
"adjectival","10","39","%a.dZIk.t""aIv.l=","1,051.000","788.929"
"adjective","9","1,045","""a.dZIk.tIv","671.355","726.950"
"adjectives","10","618","""a.dZIk.tIvz","749.844","790.458"
"adjoin","6","10","@.dZ""OIn","907.905","711.769"
"adjoined","8","18","@.dZ""OInd","754.276","684.231"
"adjoining","9","627","@.dZ""OIn.IN","809.742","732.250"
"adjoins","7","33","@.dZ""OInz","891.852","696.444"
"adjourn","7","167","@.dZ""3`n","733.667","657.077"
"adjourned","9","221","@.dZ""3`nd","890.548","750.370"
"adjourning","10","7","@.dZ""3`n.IN","820.214","709.630"
"adjournment","11","104","@.dZ""3`n.m@nt","977.607","685.560"
"adjourns","8","11","@.dZ""3`nz","863.000","690.083"
